Generation,Best_F,Mean_F,Fittest_ID,Highest_Count,Most_Common_ID,Highest_Mem,Mean_Mem,Most_Mem_ID
871,323146.300,319000.747,88,1070,65,4,3.001,264
872,323127.300,319567.352,88,1102,65,3,3.000,49
873,321516.300,317879.454,88,1076,65,3,3.000,49
874,322657.300,318715.315,88,1072,65,3,3.000,49
875,323040.300,319442.310,88,1087,65,3,3.000,49
876,323179.300,319570.483,88,1083,65,3,3.000,49
877,321530.300,318606.071,88,1069,65,3,3.000,49
878,320373.300,318007.505,88,1090,65,3,3.000,49
879,321412.300,318104.151,88,1127,65,3,3.000,49
880,320851.300,317790.634,88,1122,65,3,2.999,49
881,320305.300,317182.361,88,1120,65,3,2.999,49
882,320478.300,317607.163,97,1131,65,3,2.999,49
883,320937.300,318514.981,97,1124,65,3,3.000,49
884,321378.300,318341.583,129,1124,65,3,3.000,49
885,321286.300,318741.503,97,1126,65,3,3.000,49
886,321490.300,319008.590,129,1090,65,4,3.000,273
887,321715.300,319751.812,129,1096,65,3,3.000,49
888,321384.300,319187.239,97,1074,65,3,3.000,49
889,321550.300,317995.146,97,1007,65,3,3.000,49
890,320541.300,316264.645,97,1046,65,3,2.999,49
891,320881.300,316487.422,97,1033,65,3,2.999,45
892,321065.300,317726.069,65,1023,65,3,3.000,49
893,321854.300,317756.536,129,1060,65,3,3.000,49
894,321919.300,317803.699,129,1095,65,3,2.999,49
895,321424.300,317729.459,88,1118,65,4,3.001,345
896,321115.300,318167.087,97,1123,65,4,3.002,345
897,321399.300,317871.250,97,1122,65,4,3.001,345
898,321399.300,316829.798,97,1109,65,4,3.001,345
899,321818.300,318269.895,97,1113,65,4,3.001,345
900,322138.300,318780.404,97,1127,65,4,3.002,345
901,321681.300,318949.977,129,1184,65,4,3.002,345
902,320673.300,317301.624,97,1195,65,4,3.002,313
903,321248.300,318413.666,97,1173,65,4,3.003,345
904,321045.300,318516.943,97,1167,65,4,3.004,345
905,321354.300,318882.301,88,1205,65,4,3.002,209
906,321813.300,318924.784,88,1183,65,4,3.001,345
907,321354.300,318239.878,88,1149,65,4,3.001,345
908,322301.300,318289.635,88,1134,65,4,3.000,345
909,321496.300,317901.861,88,1103,65,3,3.000,49
910,322406.300,319119.762,152,1131,65,3,3.000,49
911,322566.300,318237.117,88,1147,65,3,3.000,49
912,322332.300,319614.633,88,1135,65,3,3.000,49
913,322602.300,319909.298,88,1157,65,3,3.000,49
914,322316.300,318954.006,152,1156,65,3,3.000,49
915,322545.300,319004.803,88,1171,65,3,3.000,49
916,322290.300,319267.513,88,1157,65,3,3.000,49
917,321932.300,319772.671,88,1134,65,3,3.000,49
918,321770.300,319433.713,88,1146,65,3,3.000,49
919,321761.300,318138.788,129,1158,65,3,3.000,49
920,321848.300,318394.037,88,1142,65,3,2.999,49
921,321026.300,317813.542,88,1163,65,3,2.999,49
922,321685.300,318748.178,88,1141,65,3,2.999,49
923,323137.300,318801.959,88,1141,65,3,2.999,49
924,322785.300,318054.498,88,1112,65,3,2.999,56
925,322930.300,317369.855,88,1098,65,3,2.998,49
926,322597.300,318314.770,88,1085,65,3,2.998,49
927,323950.300,318796.411,88,1091,65,3,3.000,49
928,323962.300,319222.279,88,1097,65,3,3.000,49
929,323176.300,318469.465,88,1054,65,3,3.000,49
930,322224.300,318786.959,88,1085,65,3,3.000,49
